投诉编号,投诉品牌,投诉车系,投诉车型,投诉简述,投诉问题,问题类型,投诉日期
20240429125154509955,福特,蒙迪欧,2020款 EcoBoost 200 时尚型,排气管锈蚀，厂家反馈为某种不明液体导致的。,附加设备,其他,2024-04-29
20240429121897994957,领克,领克03,2019款 1.5TD DCT劲版 国VI,半年前出现细微裂痕，到现在裂痕成片区，有炸裂的迹象，导致灯光变暗，影响行车安全问题。2024年4月21日去4S店保养时，反映这个行车灯的问题，工作人员说因为没在店里换火花塞，不给终身质保了，除非把火花塞换了才给我质保。但是我都是在4S店换的机油、机滤、变速箱油还有其他的，那我之前都是在4S店保养的意义在哪里？买车的时候都说整车终身质保的，因为信任才买的，也没说其他的，现在又扯这个，不是强买强卖吗？火花塞会影响到行车灯的开裂吗？我想大家都知道这两者没有联系吧。我不能接受这样的处理结果。,车身,部件开裂,2024-04-29
20240429120753575451,哈弗,哈弗H6,2017款 红标 2.0T 自动两驱智尚型,问题未解决，继续投诉厂家不作为,传动系,换挡困难,2024-04-29
20240429114648514852,丰田,皇冠,2009款 2.5L Royal特别导航版,厂家和4s店没有任何联系与处理方式,车身,部件开裂,2024-04-29
20240429114151100539,大众,大众ID.3,2024款 纯净智享版,厂家无联系，不负责任，会投诉到底,车身,异响,2024-04-29
20240429111910299501,吉利银河,银河L6,2023款 125km PLUS,当初购车反复考虑，毅然决定支持国有自主品牌，支持国产新能源汽车，考虑自身用车需求，最终购买吉利银河L6车型。目前购车不满三个月，使用过程中出现以下情况:（1）2024年1月底下定提车，过完春节吉利就推出了2024龙腾版，我的新车现在整车直接降价2.6W不说，同样125KM的PLUS版本，龙腾版增配360度全景影像、全速自适应巡航、头部气帘、主动刹车、车道保持辅助、后视镜加热折叠以及L2智能驾驶等众多安全相关功能，又直接变相贬值。（2）近万公里驾驶体验，40km和70km有明显失速卡顿现象，行驶过程中车机系统多次出现无响应状况，停车重启之后才能恢复，存在严重驾驶安全风险。（3）行驶中或停车时纯电模式变智能驾驶模式切换无效，发动机无响应，仍然保持纯电模式，直到电量几乎耗尽才启动发动机，影响驾驶体验，油耗明显增加。（4）新车入手后百般爱护，正常洗护使用，无任何剐蹭碰撞，目前车漆有多处开裂、掉漆现象，着实让人心疼。作为吉利品牌支持者，遭遇品牌背刺，希望吉利公司不要让老车主寒心，维护好品牌支持者利益，为老车主安全行驶提供更好保证，给老车主升级相关安全配置，有效保护消费者权益。,电气设备,车载互联故障,2024-04-29
20240429111755485649,大众,ID.4 CROZZ,2021款 长续航PRO两驱版,简单描述一下车辆问题，22年6月购置车辆，至拿到车二个月后，车机就平凡出故障，车身也出各种异响，去4S点不计其数，也更换了不少配件，整个车辆到处都有小问题，天窗漏水等等一系列小问题，连4S店工作人员都说我这台车故障率比同级别车辆要高不少，这些故障我也就算了，毕竟新厂品不成熟，出现故障能解决就算了.但是今年24年2月份，我正常行驶，车机突然报警，车辆锁死，行驶中导致车辆失控，幸好我车速不快，没造成多大的伤害，然后拖车拖至4S店解决.修了一个礼拜，我拿车回来后不到一个月时间出现同意的问题，这是在街区公路上行驶，如果在高速上或者国道上行驶那岂不是良成大祸，这样的故障胜势一颗定时炸弹，我就打客服电话投诉车辆有安全性问题，要求解决，至今到目前为止车辆故障问题都没解决.这两个月打了客服电话不计其数，也解决不了，我现在都有想法准备直接把车弄到厂家去一把火给点了，不想要了，很是气氛。同时我也提出了我的诉求，要求高于市场二手车价格将我车辆回收，不要求原价回收，要么把我车机整套系统换了，车辆质保延长3年，我想问下我这诉求不算过分吧.也没同意.每次客服都是回答正在更进处理，已经更近快2个月也没解决。,车身,异响,2024-04-29
20240429111655100495,吉利银河,银河L6,2023款 125km PLUS,当初购车反复考虑，毅然决定支持国有自主品牌，支持国产新能源汽车，考虑自身用车需求，最终购买吉利银河L6车型。目前购车不满三个月，使用过程中出现以下情况:（1）2024年1月底下定提车，过完春节吉利就推出了2024龙腾版，我的新车现在整车直接降价2.6W不说，同样125KM的PLUS版本，龙腾版增配360度全景影像、全速自适应巡航、头部气帘、主动刹车、车道保持辅助、后视镜加热折叠以及L2智能驾驶等众多安全相关功能，又直接变相贬值。（2）近万公里驾驶体验，40km和70km有明显失速卡顿现象，行驶过程中车机系统多次出现无响应状况，停车重启之后才能恢复，存在严重驾驶安全风险。（3）行驶中或停车时纯电模式变智能驾驶模式切换无效，发动机无响应，仍然保持纯电模式，直到电量几乎耗尽才启动发动机，影响驾驶体验，油耗明显增加。（4）新车入手后百般爱护，正常洗护使用，无任何剐蹭碰撞，目前车漆有多处开裂、掉漆现象，着实让人心疼。作为吉利品牌支持者，遭遇品牌背刺，希望吉利公司不要让老车主寒心，维护好品牌支持者利益，为老车主安全行驶提供更好保证，给老车主升级相关安全配置，有效保护消费者权益。,销售欺诈,变更价格,2024-04-29
20240429110110157481,雪佛兰,赛欧,2010款 三厢 1.2L 手动时尚版,此款新欧赛油泵漏油是通病，此款车型上汽通用还召回过一批。我早听说这件事但我以为我是那个幸运儿，结果最近车里很大的汽油味，吊起来一看，油箱底壳全是汽油。我也中招了！联系客服，报完车架号后，客户说我车不在召回批次中，无法帮助。 我现在很不理解，为什么同一款车型，同一个故障，同一个安全隐患，为什么当年还在售的时候出问题就召回解决维修，现在此款车型停产了，上汽通用就置于老用户不管不问了？？,传动系,漏油,2024-04-29
20240429104357529850,比亚迪,唐新能源,2021款 DM-i 112KM 尊荣型,因为支持国产购买的秦，有了小孩置换的21款唐dmi 开了大半年，高速行驶中突然降速 油门踩死速度依旧维持在80-90左右。当时心里特别慌。靠在应急重启后恢复正常(之后还是偶尔发生)，之后充电百分之70直接跳到百分之100。送去上海比亚迪汇羿4s店，检测需更换电池包。更换好后过了4个月 开的公里数并不高的情况下于24年4月份在小区行驶跳ev受限故障。小区人多，这情况非常危险。本人先后买秦，唐。还帮亲戚买了比亚迪海豹并都购买延保。内心对比亚迪非常支持认可的。但是这个唐dmi连续更换两次电池，高速ev受限让本人内心非常害怕有很严重的安全隐患。毕竟买车是带一家人出去玩的。很怕在高速失速造成车祸。请比亚服厂家更换车辆，不要让喜欢比亚迪的车主寒心。,其他原因,设计缺陷,2024-04-29
20240429104349984998,奔驰,奔驰EQC,2021款 EQC 400 4MATIC,这个投诉毛用也没有根本没有任何人联系，我们无缘无故就完成投诉没有用没有用一塌糊涂。,悬架系,其他,2024-04-29
20240429103849515256,本田,本田CR-V,2021款 240TURBO CVT两驱风尚版,本人于2021年6月23日在咸宁东风本田恒信店购买的保养套餐（2800元/6次），当天消费1次，还剩5次，当时售后人员并没有详细讲解套餐的保质期和其他时间问题。并承诺后面只要微信私信预约保养时间即可，我在2023年1月份微信数次联系售后人员预约保养都没有联系上，中途再也没有去他们店里做保养。2024年6月22日收到咸宁东风本田恒信店通知，保养套餐于2024年6月22日到期，于是主动联系店里售后服务和微信公众号客服，售后人员纪丽华说我距离保质期结束还有一次保养机会，我说不给做保养就要求把剩余5次的材料都退给我，纪丽华说合同上规定了两次保养必须间隔两个月以上，只能退一次的材料，然而微信公众号里的消费券没有规定两次保养必须间隔两个月以上。我要求提供当时的合同，纪丽华说店里人员花了近一个礼拜的时间没有提供签字版合同，并回复他们店里前段时间装修过，很多文件搬动过，找合同可能得花一两个月的时间甚至更久。我要求纪丽华和他们领导沟通并给出回复，纪丽华说不可能因为这个事去找领导沟通，肯定要挨骂，并且态度极为恶劣，退5次材料是不可能的。我在此强烈投诉咸宁东风本田恒信店的欺骗行为。,销售欺诈,与宣传不符,2024-04-29
20240429101748521004,长安启源,长安启源A07,2023款 增程 200 Air,2024年2月1日在长安启源的店里买了A07这款车，试驾完各方面都感觉不错就订了，高高兴兴提车，提车第二天发现后备箱左右两边的缝隙不一致，到卖车的店询问，他们说他们只是订单中心，没有售后，让我去另一家启源的售后服务中心。过去之后售后的员工检查完说这是出厂的装配工艺有问题，可以调，但是要拆后排座椅、内衬、顶棚，而且拆完之后后排座椅螺丝有拧过的痕迹，会影响旧车的保值率。我作为车主肯定心里不舒服，就问他们拆了调整尾门螺丝可以，有没有什么补偿能让我心里舒服一点。但是售后员工说就送一些精品装潢什么的，没有什么补偿，如果要补偿，就去找给你卖车的订单中心去。我打了厂家的400电话，客服说会有人联系我，结果自始至终都没有人联系我，到现在这个问题还是没有解决。 当初买这个车是看到这个品牌背靠长安大厂，销售售后肯定有保障，没想到踩雷了。订单中心只管卖车不管售后，售后中心又说车不是他们卖的没办法补偿。在这里劝观望的车友们慎重考虑这个品牌，真的是品控差，而且买了车就没人管了,车身,其他,2024-04-29
20240429094555545652,宝马,宝马5系新能源,2022款 改款 535Le 豪华套装,投诉后未收到反馈，之前投诉厂家、4s店均未解决问题,转向系,抖动,2024-04-29
20240429092557979848,哈弗,哈弗H6,2023款 2.0GDIT 高配版,不质保,悬架系,异响,2024-04-29
20240429092310255535,比亚迪,宋PLUS新能源,2021款 DM-i 110KM 旗舰PLUS,我于2022年3月购买一台比亚迪宋PLUS DMI，有两个问题到现在迟迟不能解决 1.购买时千里眼（哨兵模式）能够使用，但没多久比亚迪禁用了所有车主的千里眼功能，页面始车终显示升级中，比亚迪自身技术问题导致所有质车主无法使用千里眼功能。23年3月车停在小区被刮蹭，因无此功能造成车损，车主停车后财产安网全无法得到保障，线上及400人工客服告诉我无明确升级日期。买车时整车包含了千里眼功能及相关监控服务，但比亚迪停止了该服务造成车辆财产损失。解决诉求：1请比亚迪官方立刻明确千里眼升级开通日期，而不是无限期拖延。2赔付车主未在这一年应享受该功能的相应车款。3因千里眼停用，车主另行加装的停车监控，流媒体，记录仪等费用。4请比亚迪官方全网公告千里眼功能受限的事实，并告知车主财产安全受到影响的事实，保护新老车主的知情权，不能在新车销售时故意隐瞒。 2.海洋网APP2023年9月1日正式上线，当时承诺上线期间10倍积分返，截止目前，我反馈三次客服都说加急反馈，让我等待，我等了200多天还未解决问题。诉求：1.补发承诺积分；2.给予相应补偿,承诺不兑现,服务承诺不兑现,2024-04-29
20240429091053484957,丰田,皇冠陆放,2021款 2.5L HEV四驱尊贵版,请厂家认真对待问题，向4S店提出反馈！到目前为止没有见4S店联系处理！否则一直申诉！,发动机,抖动,2024-04-29
20240429084651485299,魏牌,玛奇朵DHT-PHEV,2021款 1.5L 特调版,22年11月15号才购买的车，在当年春节前就开始四个车门有异响，去4S店检查不出问题，只是草草给四车门胶条上了点蜡，勉强能用，但是需要经常去上蜡才不响，今年在三亚的九兴哈弗4S店检查异响，先是拆车门，然后调门，再到换四门胶条，最后还是上蜡。从23年初就有的毛病至今一直未解决，该拆的拆了，该换的换了，现在找九兴哈弗店的售后经理也不回复了，没人处理了。再一个就是车子质量堪忧，购车不到半年就已经更换过阅读灯，现在后挡风玻璃胶条更是老化融了，要更换整块后挡风玻璃。档杆位置的塑料件也是融化，4S店否认质量问题，赖到说我自己造成的，对该车企的质量和售后感到绝望,车身,异响,2024-04-29
20240429080710297571,凯迪拉克,凯迪拉克XT5,2020款 28T 豪华型,并未邀约客户处理，怎么就会描述厂家处理完了呢？过去多天，并未给出方案！完全都是拖延时间，没有责任，这售后太差了！希望能有监察部门进行严格查他们！,悬架系,异响,2024-04-29
20240429080155565097,埃安,AION S,2022款 魅 580,车辆百公里28码从地下车库出来，前方要转弯时候踩刹车没有减速，刹车是硬的踩不动，知道撞墙以后才停下来，从刹车到撞墙大约有150米，多次跟厂家沟通，厂家不予理会，厂家说我撞墙以后才有刹车行为，我有行车记录仪记录，刹车灯是亮的，还有车库的监控拍到我有刹车,制动系,抖动,2024-04-29
20240429075854515499,本田,奥德赛,2022款 2.0L e:HEV 锐·领享版,车辆以40码左右在水泥路面行驶，左边B柱顶部与车顶连接处有累死车身焊点脱焊的（铁与铁碰撞的得得得得声）,车身,异响,2024-04-29
20240429075798545348,雪佛兰,科鲁兹,2015款 1.5L 自动时尚导航版,厂家客服未解决问题，直接说过保修了，不予处理。,车身,漏水,2024-04-29
20240429000255545453,大众,揽巡,2024款 380TSI 四驱R-Line巡游版,车辆经常主动刹停，导致无法使用，自动泊车功能无法正常使用，经检查为泊车模块参数混乱,制动系,其他,2024-04-29
20240428230110252544,雪铁龙,天逸 C5 AIRCROSS,2019款 350THP 进享型 国V,发动机渗油，经销商厂家无人解决,发动机,其他,2024-04-28
20240428225610199995,大众,途观L,2023款 330TSI 自动两驱R-Line越享版,没联系没处理欺骗消费者,发动机,抖动,2024-04-28
20240428225650565798,大众,途观L,2023款 330TSI 自动两驱R-Line越享版,没联系没处理欺骗消费者,销售欺诈,出售库存车,2024-04-28
20240428225556529710,大众,途观L,2023款 330TSI 自动两驱R-Line越享版,没联系没处理,服务态度,不解决问题,2024-04-28
20240428220097575152,斯柯达,柯珞克,2021款 TSI280 豪华版,维权车辆于2021年3月17日在青岛诚和汽车销售有限公司购置，车辆在威海市使用期间因空调压缩机出现故障于2022年9月27日就近前往厂家授权服务商进行检测并对车辆进行保养，此时车辆仍在质保期，2022年9月30日厂家微信公众号推送信息提示保养完成，之后本人接收到授权服务商通知车辆故障为事故造成，当起事故的保险定损仍为该授权服务商负责，本人提出车辆损坏无非人为（事故）或质量缺陷，若为人为（事故）原因则服务商或厂家应承担未能准确检测将问题反馈保险公司维修的责任，若为质量缺陷厂家应履行三包规定承担维修，本人向厂家多次投诉申请解决无果。后对保险公司提起诉讼（因服务商的错误检测未起诉厂家及销售方），经法院委托三方单位检测后认定“压缩机无明显撞击痕迹，且安装部位不在事故碰撞损伤范围，其损失原因为机械故障”。在较为清晰的质量认定情况下，厂家仍无理拒绝对车辆问题承担责任，汽车销售方对此事的处理较为消极，截止目前此时已被拖延19个月。,电气设备,空调异响,2024-04-28
20240428215857100545,标致,标致408,2016款 1.6T 自动豪华版,从8W公里就开始慢慢的烧机油，现在车辆13W公里了烧机油变的更加严重了，大概6000公里烧2L多！之前都是在4S店保养，后来就是在4S店认可的阳光工匠保养,发动机,烧机油,2024-04-28
20240428203697499951,大众,途昂,2023款 380TSI 四驱尊崇豪华版,厂商联系深圳宝安大兴4s店处理并说好的给延长多两年质保，结果只延长了一年，车子本身4年质保，现在是5年，厂商言行不一，未按实际承诺妥善办理，有背诚实守信原则，希望厂商能秉承公信，说到做到，质保至6年，真正让消费者买的放心用的安心。厂商回复每次都是尽快处理，结果连个电话也没，压根就没处理，敷衍了事吗？能不能办点实事？追加投诉这么多次还是尽快处理，这网站是摆设的吗？还是跟厂商一伙的！这网站就是摆设，没能力处理问题，还敢打中国汽车质量网，早点关掉吧！！！,发动机,漏机油,2024-04-28
20240428201256561021,大众,速腾,2017款 280TSI 自动R-Line,17款速腾前挡下玻璃边缘白了，担心后期继续扩大造成漏水和安全隐患！,车身,部件开裂,2024-04-28
20240428200610056501,领克,领克03,2019款 1.5TD DCT劲版 国VI,4S说是车子超4年并且没在店里换空滤空调滤火花塞厂家不给索赔，但是我这些都换过了也是原厂件，当地没有4S店本身离得也挺远的因为这些也是小东西来回跑也麻烦的，而且这个也影响不到行车灯的质量问题吧，其次我的保养记录和次数全程都是在4S店的而且事故也都是认准4S店因为买车也说了有终身质保就是怕在外换副厂件不能质保。所以说现在出现这个问题4S店给予的说法我不能接受，那我这么信任4S店每次保养来回都跑一两百公里的意义在哪里？,服务态度,不予索赔,2024-04-28
20240428191654505748,别克,威朗,2023款 Pro GS 猎风版,申请更换燃油模块 多数跑高速 7053有安全隐患 高速断油 有危险,电气设备,其他,2024-04-28
20240428185010010110,宝马,宝马1系,2022款 125i M运动曜夜版,无人处理,发动机,故障灯亮,2024-04-28
20240428183551101495,大众,探岳,2020款 330TSI 两驱豪华智联版Pro,车辆问题一直未得到解决，4S店售后经理态度蛮横,服务态度,厂家不回复,2024-04-28
20240428174599100989,长安,长安CS75 PLUS,2021款 1.5T 自动尊贵型,三年零三个月质保刚过，发电机坏了（非人为）,电气设备,其他,2024-04-28
20240428172256495254,比亚迪,比亚迪e6,2016款 400 精英版,说的电芯终身质保，结果4s店检测可以索赔电池包，厂家回复过保驳回，4s店提交了3次，400公里续航只能跑150公里，82度电只能充40多度,动力电池及电源管理系统,续航里程不准,2024-04-28
20240428170351985397,吉利汽车,帝豪L HiP,2022款 1.5TD-DHT Pro 100KM Super 迅,2024年4月10日，行驶过程中动力系统故障，突然被动停车，无奈拖车4S店，第18天依旧检查不出问题所在，担心后续行车安全,发动机,动力消失,2024-04-28
20240428165552494997,比亚迪,汉,2023款 EV 冠军版 605KM前驱尊贵型,主驾驶座椅通风如同电钻一样，买了不到三个月价格就降了3万 相同的车型配置比我的还要高，价格低就不说了配置还高，不需要比亚迪厂家把差价返给我至少也应该把我的配置提升到现在的水平！！！！！！,附加设备,其他,2024-04-28
20240428164952101525,大众,朗逸,2019款 朗逸启航 1.5L 自动风尚版 国VI,厂家跟经销商根本没有联系过我，也没有给我解决问题,销售欺诈,出售问题车,2024-04-28
20240428164898100559,别克,君越,2023款 艾维亚版,既然做不到8年16万公里动力总成质保，那就不要在官网是发文件。摆明了就是欺骗消费者！,承诺不兑现,服务承诺不兑现,2024-04-28
20240428164448100100,长安,长安CS35PLUS,2019款 1.6L 手动畅联版,本人2019年在西安三桥西部汽车城购买了一辆长安cs35plus汽车，到2024年3月发现了发动机故障灯亮了，去4S店检查说三元催化器坏了，需要更换。我就想不明白，不到5年的车，三元催化怎么会坏了。,附加设备,其他,2024-04-28
20240428162951541015,荣威,荣威RX5,2016款 1.5T 试装版,我是2018年6月份购买的这款国产汽车，平时只是用来接送小孩上学、放学用的，大部分是在韶关市内开，2024年4月份开始，发现车里驾驶室和后座地垫下面大量积水，后备箱也积水，汽车修理工说这是汽车天窗排水堵塞导致的，我朋友说他开过十来种品牌的汽车，开了二十来年车了，从来没有发生过哪台车的车内会积水，我也是第一次遇见。上网一搜荣威RX5这款车，看到好多车友都反映天窗排水堵塞是这款车的缺陷，排水口太小，且成十字型，很容易堵塞。,悬架系,其他,2024-04-28
20240428162957975310,大众,途岳,2023款 300TSI 两驱皎月版,我买的车一保刚过就发现轮胎出现老化裂纹4S店说是上报给韩泰轮胎厂家，厂家不管4S店现在也不管，说是正常现象，我花十几万买的车不到一年时间轮胎就出现老化裂纹，这是给人能说的过去吗,轮胎和车轮,轮毂开裂,2024-04-28
20240428162154102499,吉利汽车,博越,2016款 1.8TD 自动智慧型,车辆空挡挂d档，出现顿挫，而且起步延时3秒左右；急加速情况下3档升4档，有强烈顿挫感，踹背感！多次去4s店，表示需要自费或半价更换变速箱，本属于质量问题，需要消费者缴费，严重不满意。,传动系,顿挫,2024-04-28
20240428161254101545,雪佛兰,迈锐宝XL,2019款 Redline 550T 自动锐动版,左前门和右后门锁块21年坏了一次更换，今天右后门又坏了现在又坏了 完全的产品质量问题,电气设备,其他,2024-04-28
20240428155098534857,蔚来,蔚来ES6,2023款 150kWh,买车不到三个月，一次出差正行驶在高速路上时接到客服人员电话车辆继续行驶会有高温的可能，建议我们立即到就近的服务店维修，当时只能被迫在青岛下了高速，找到就近的店不明不白的换了水壶，当时仍庆幸未发生意外。后过了没几天，又出现车内多处异响，路面稍有不平，天窗就有异响，空调开冷风异味，因为这些问题跑了好几次当地蔚来合作点，没有专门售后，去了也不重视，一直也得不到有效解决,服务态度,故意拖延,2024-04-28
20240428151853565210,荣威,荣威D7,2023款 DMH 125km 超越版,我是3月26日出发票买的车，那个时候荣威说不会降价，咱们车不跟着价格战，结果我车牌还没下来呢， 还挂着临牌时候官降2万，我买的时候是1.3万，10来天没怎么开呢就亏了7千，可以讲价，能否提前告知，或者给我们这些还没到才买了不到半个月的有所补偿，太过分了， 就这样的服务还想卖得好吗？？？,其他原因,厂家不召回,2024-04-28
20240428150857101565,小鹏汽车,小鹏G6,2023款 755 超长续航 Max,厂家未联系。,电力驱动系统,动力中断,2024-04-28
20240428150048495655,奥迪,奥迪A4L,2017款 40 TFSI 时尚型,原因：以次充好，且被损害知情权。且主机厂睁一只眼闭一只眼，不予以协助解决。 经过：经提前联系店端后，协定4月16日将车送到4S店事故维修，同时我微信明确要求使用原厂件，19日提车。 事故专员17日回复叶子板在订货。我主动确认后，得知21日才能提车。 21日到店后发现叶子板边角处有钣金颜色露出，店端重新维修后交车。我主动要求提供工单后，对方提供集团的预估结算单；要求提供订货记录后，提车回家后收到信息，记录显示“23年9月22日订购3件”。致电奥迪厂家并APP留言提出质疑后，厂家将问题抛回给店端。 目前厂端和店端都态度消极。 诉求：①换回原厂件；②依法经济赔偿。,配件争议,使用非原厂件,2024-04-28
20240428145097995254,丰田,亚洲龙,2022款 2.0L 进取版,不接受厂家建议。 我于2023年3月17日购买一汽丰田2022款亚洲龙2.0L进取版乘用车（车辆出厂未配置倒车雷达）。车辆着车，将档位挂入R档后，倒车蜂鸣器持续鸣音，对驾驶员心理及生理造成影响，有碍驾驶员安全驾驶。经咨询汽车经销商，表示厂家目前故障解决方案中无相关措施法改变现状。本人认为此为产品质量缺陷，有车辆行使安全隐患。希望厂家召回维修。,电气设备,其他,2024-04-28
20240428143952511029,雪佛兰,科鲁泽,2019款 RS 330T 自动畅快版 国VI,联系了，但不以处理，随便应付。本身就是车子批次有问题，但厂家没有正面去处理回应，垃圾车，垃圾厂家。,发动机,故障灯亮,2024-04-28
20240428142150995610,凯迪拉克,凯迪拉克XT5,2021款 28T 豪华型,撒谎撒谎。上汽通用你在梦中邀约客户吧！请正面回复质疑，用户死也应死个明白：1、这车能开吗、无过错能保命吗？2、该车有无必要的安全备份？3、安全隐患真的是燃油模块或仅仅只是燃油模块吗？22年7月、23年8月2次突然熄火，依质控标准和质控体系，此批燃油模块在一年时间内在同一车上发生2次故障的概率理论上是多少？实际发生的故障率是多少？有发生2次或2次以上故障的吗？是否符合质量法4、故障分析检测排除是如何进行的？是否存在本车其它系统或部件质量不稳定导致燃油模块发生故障的可能？是否存在燃油模块与其它系统适配问题？是否存在燃油模块各功能特定条件不兼容情况？5、本车如还存在严重的安全隐患，对本人及家庭甚至相关公众可能是灭顶之灾，厂家可以无视吗？6、设时速120公里发生此故障，场景是个什么情形？如不涉及国安商秘个私，厂家应做出必要的正面回复，答疑解惑！,发动机,动力消失,2024-04-28
20240428141110150505,比亚迪,宋PLUS新能源,2023款 冠军版 DM-i 150KM 旗舰PLUS,买车不到半年，降价2万元，车企对于价格定价不合理,服务态度,不解决问题,2024-04-28
20240428134452535457,英菲尼迪,英菲尼迪QX50,2022款 2.0T 四驱菁英版,新车一年多分动箱漏油，更换一个分动箱，又过了一年再次漏油，又更换一个，三年两次更换分动箱，接着传动轴又坏，分动箱4万多一个，传动轴12000一个，车子马上出保，这种车子谁还敢开，三年维修费就要十几万，后续出现问题难以承担，车子存在严重出厂问题，厂家给不了任何说法，过保就的自行处理，一点责任不负，多次沟通未果。希望有关部门能解决问题谢谢,传动系,其他,2024-04-28
20240428133899531029,本田,本田CR-V,2021款 240TURBO CVT两驱都市版,车辆内一直存在异味,车身,异味,2024-04-28
20240428132210110098,斯柯达,速派,2018款 TSI330 DSG舒适版 国VI,变速箱无法正常升档，到4S店检查告知是变速箱压力传感器损坏，需要更换变速箱电脑板，此DSG变速箱这种故障现象是你们的质量问题，所有DSG380的变速箱都有此类问题，现4S店告诉我因为我购车年限较长行驶里程数较长让我自己承担全部维修费用，对此结果我非常不满意，我家人及朋友也有同款车型出现过同样的问题，大众都给免费维修或者承担了部分费用，凭什么我的车就要自己承担全部维修费用，你们VW及斯柯达都有此类问题，现要求大众厂家免费给我维修，如果不给予解决我即将往德国总部发邮件且曝光到各类媒体！,传动系,换挡困难,2024-04-28
